BehaviorSpace results (NetLogo 6.0.3),,,,,
ch9_simple_birth_rates.nlogo,,,,,
Effect_of_blue_fertility_om_red_extinction,,,,,
03/16/2019 15:38:22:767 +0900,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,
-50,50,-50,50,,
[run number],carrying-capacity,red-fertility,blue-fertility,[step],ticks
1,1000,2,2.1,151,151
2,1000,2,2.1,166,166
3,1000,2,2.1,134,134
4,1000,2,2.1,189,189
5,1000,2,2.1,165,165
6,1000,2,2.1,128,128
7,1000,2,2.1,168,168
8,1000,2,2.1,141,141
9,1000,2,2.1,132,132
10,1000,2,2.1,196,196
11,1000,2,2.2,102,102
12,1000,2,2.2,108,108
13,1000,2,2.2,81,81
14,1000,2,2.2,184,184
15,1000,2,2.2,74,74
16,1000,2,2.2,80,80
17,1000,2,2.2,106,106
18,1000,2,2.2,83,83
19,1000,2,2.2,74,74
20,1000,2,2.2,69,69
21,1000,2,2.3,77,77
22,1000,2,2.3,78,78
23,1000,2,2.3,54,54
24,1000,2,2.3,44,44
25,1000,2,2.3,65,65
26,1000,2,2.3,61,61
27,1000,2,2.3,59,59
28,1000,2,2.3,69,69
29,1000,2,2.3,63,63
30,1000,2,2.3,49,49
31,1000,2,2.4,54,54
32,1000,2,2.4,52,52
33,1000,2,2.4,54,54
34,1000,2,2.4,37,37
35,1000,2,2.4,55,55
36,1000,2,2.4,38,38
37,1000,2,2.4,42,42
38,1000,2,2.4,61,61
39,1000,2,2.4,43,43
40,1000,2,2.4,55,55
41,1000,2,2.5,50,50
42,1000,2,2.5,56,56
43,1000,2,2.5,47,47
44,1000,2,2.5,41,41
45,1000,2,2.5,46,46
46,1000,2,2.5,38,38
47,1000,2,2.5,43,43
48,1000,2,2.5,41,41
49,1000,2,2.5,33,33
50,1000,2,2.5,52,52
51,1000,2,2.6,49,49
52,1000,2,2.6,29,29
53,1000,2,2.6,35,35
54,1000,2,2.6,33,33
55,1000,2,2.6,40,40
56,1000,2,2.6,30,30
57,1000,2,2.6,39,39
58,1000,2,2.6,32,32
59,1000,2,2.6,29,29
60,1000,2,2.6,50,50
61,1000,2,2.7,29,29
62,1000,2,2.7,32,32
63,1000,2,2.7,32,32
64,1000,2,2.7,52,52
65,1000,2,2.7,44,44
66,1000,2,2.7,39,39
67,1000,2,2.7,31,31
68,1000,2,2.7,31,31
69,1000,2,2.7,31,31
70,1000,2,2.7,26,26
71,1000,2,2.8,32,32
72,1000,2,2.8,21,21
73,1000,2,2.8,25,25
74,1000,2,2.8,36,36
75,1000,2,2.8,39,39
76,1000,2,2.8,24,24
77,1000,2,2.8,28,28
78,1000,2,2.8,27,27
79,1000,2,2.8,36,36
80,1000,2,2.8,21,21
81,1000,2,2.9,36,36
82,1000,2,2.9,29,29
83,1000,2,2.9,28,28
84,1000,2,2.9,31,31
85,1000,2,2.9,31,31
86,1000,2,2.9,21,21
87,1000,2,2.9,23,23
88,1000,2,2.9,21,21
89,1000,2,2.9,26,26
90,1000,2,2.9,21,21
91,1000,2,3,19,19
92,1000,2,3,26,26
93,1000,2,3,25,25
94,1000,2,3,25,25
95,1000,2,3,21,21
96,1000,2,3,22,22
97,1000,2,3,21,21
98,1000,2,3,28,28
99,1000,2,3,18,18
100,1000,2,3,26,26
101,1000,2,3.1,32,32
102,1000,2,3.1,19,19
103,1000,2,3.1,17,17
104,1000,2,3.1,18,18
105,1000,2,3.1,26,26
106,1000,2,3.1,19,19
107,1000,2,3.1,20,20
108,1000,2,3.1,23,23
109,1000,2,3.1,18,18
110,1000,2,3.1,29,29
111,1000,2,3.2,23,23
112,1000,2,3.2,26,26
113,1000,2,3.2,17,17
114,1000,2,3.2,17,17
115,1000,2,3.2,19,19
116,1000,2,3.2,21,21
117,1000,2,3.2,24,24
118,1000,2,3.2,20,20
119,1000,2,3.2,21,21
120,1000,2,3.2,19,19
121,1000,2,3.3,21,21
122,1000,2,3.3,17,17
123,1000,2,3.3,23,23
124,1000,2,3.3,18,18
125,1000,2,3.3,21,21
126,1000,2,3.3,18,18
127,1000,2,3.3,17,17
128,1000,2,3.3,17,17
129,1000,2,3.3,17,17
130,1000,2,3.3,15,15
131,1000,2,3.4,23,23
132,1000,2,3.4,22,22
133,1000,2,3.4,18,18
134,1000,2,3.4,19,19
135,1000,2,3.4,14,14
136,1000,2,3.4,16,16
137,1000,2,3.4,21,21
138,1000,2,3.4,16,16
139,1000,2,3.4,18,18
140,1000,2,3.4,17,17
141,1000,2,3.5,15,15
142,1000,2,3.5,19,19
143,1000,2,3.5,14,14
144,1000,2,3.5,16,16
145,1000,2,3.5,18,18
146,1000,2,3.5,15,15
147,1000,2,3.5,17,17
148,1000,2,3.5,16,16
149,1000,2,3.5,25,25
150,1000,2,3.5,15,15
151,1000,2,3.6,17,17
152,1000,2,3.6,23,23
153,1000,2,3.6,20,20
154,1000,2,3.6,19,19
155,1000,2,3.6,21,21
156,1000,2,3.6,15,15
157,1000,2,3.6,20,20
158,1000,2,3.6,20,20
159,1000,2,3.6,15,15
160,1000,2,3.6,13,13
161,1000,2,3.7,15,15
162,1000,2,3.7,19,19
163,1000,2,3.7,16,16
164,1000,2,3.7,17,17
165,1000,2,3.7,22,22
166,1000,2,3.7,12,12
167,1000,2,3.7,18,18
168,1000,2,3.7,25,25
169,1000,2,3.7,15,15
170,1000,2,3.7,13,13
171,1000,2,3.8,23,23
172,1000,2,3.8,17,17
173,1000,2,3.8,14,14
174,1000,2,3.8,14,14
175,1000,2,3.8,15,15
176,1000,2,3.8,14,14
177,1000,2,3.8,13,13
178,1000,2,3.8,15,15
179,1000,2,3.8,18,18
180,1000,2,3.8,13,13
181,1000,2,3.9,11,11
182,1000,2,3.9,16,16
183,1000,2,3.9,19,19
